journal,indexation,publication,doi,titre,chercheurs,laboratoires,abstract,keywords,pays,quartile
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain53845.2021.00075,Blockchain-Based Software Systems: Taxonomy Development,Lamia Alashaikh,,"At an era of new emerging technologies, and spotting lights to blockchain technology specifically; many promises take place. Blockchain has attracted many researchers and practitioners from various professions and disciplines, due to the powerful characteristics behind adopting such technology. And in order to formulate a better understanding of it, many researchers are interested in classifying the Blockchain-Based Software Systems (BBSSs). Unfortunately, none of the available taxonomies in the literature considers the various Software Engineering (SWE) aspects for building a BBSS. A blockchain subject matter expert (SME) may absorb a specific aspect understanding from each of the related taxonomies, and in order to have a complete understanding of the various options available for building a BBSS, they will have to flip from a resource to another in order to collect the scattered information they need. So, this paper aims to assist the blockchain SMEs to articulate a comprehensive understanding of the various and most recent concepts and design decisions available, in order to implement or propose a BBSS solution. The taxonomy is derived from the fundamental knowledge and the major SWE aspects which a BBSS implementer or researcher has to consider, and thus is not biased to a specific SWE aspect.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00049,CoDAG: An Efficient and Compacted DAG-Based Blockchain Protocol,Shu Yang; Ziteng Chen; Laizhong Cui; Mingwei Xu; Zhongxing Ming; Ke Xu,,"Blockchain is seen as a promising technology to provide reliable and secure services due to its decentralized characteristic. However, because of the limited throughput, current blockchain platforms can not meet the transaction demand in practical use. Though researchers proposed many new solutions, they suffered either decentralization or security issues. In this paper, using Directed Acyclic Graph (DAG) structure, we improve the linear structure of traditional blockchain protocol. In the new structure, blocks are organized in levels and width, which will generate into a compacted DAG structure (CoDAG). To make CoDAG more efficient and secure, we design algorithms and protocols to place the new-generated blocks appropriately. Compared with traditional blockchain protocols, CoDAG improves the security and transaction verification time, and enjoys the consistency and liveness properties of blockchain. Taking adversary parties into consideration, two possible attack strategies are presented in this paper, and we further prove that CoDAG is a secure and robust protocol to resist them. The experimental results show that CoDAG can achieve 394 transactions per second, which is 56 times of Bitcoin's throughput and 26 times of Ethereum's.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain53845.2021.00070,Performance Analysis of a Hyperledger Iroha Blockchain Framework Used in the UK Livestock Industry,Konstantinos Ntolkeras; Hossein Sharif; Soroush Dehghan Salmasi; William Knottenbelt,,"This investigation focuses on the performance analysis of one of the most nascent Blockchain frameworks, Hyperledger Iroha. This paper evaluates the performance of the Hyperledger Iroha framework based on three parameters: (a) total requests per seconds (RPS) over time; (b) response times in milliseconds over time; and (c) number of users in the network over time. The results indicate that the integration of Hyperledger Iroha with a major livestock management and trading platform in the UK, can support at least 200 participants with no errors in the network. Additionally, the total requests per second can reach as high as 40.6, and the response times are in the order of a fraction of a second. This research and its results can assist scholars and practitioners regarding selection of an ideal Blockchain framework for their problem setting.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICIRDC62824.2023.00110,Security Assessment Model for Blockchain Software and Hardware Fusion Device Based on Decision Tree Algorithm,Ke Yang; Shuang Sun; Mingyang Lei; Weiyu Wang; Xiukui Pan,,"As the core hub for carrying various blockchain applications upstream and connecting network infrastructure downstream, blockchain infrastructure provides necessary storage, transmission, computing, development, and testing for the implementation of blockchain applications. This article attempts to propose a security evaluation model for blockchain software and hardware fusion devices based on decision tree algorithms. From the perspective of blockchain technology architecture, it fully reveals the security risks of evaluated blockchain projects for software and hardware fusion devices. It is necessary to conduct a comprehensive analysis of various technologies that affect the security risks of blockchain software and hardware fusion devices. By reusing the kernel through decision tree algorithm, a system chip that meets predetermined requirements can be quickly constructed, integrating processor modules and some commonly used functional modules. The research results indicate that the detection rate of the experimental group model is consistently higher than that of the traditional model. During the detection rate process, the average value of the experimental group is as high as 89.3%, which is much higher than the traditional model. Furthermore, the error detection rate curve remains at the lowest position, indicating the effectiveness of the proposed evaluation model.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00013,Hybrid Blockchain Design for Privacy Preserving Crowdsourcing Platform,Saide Zhu; Huafu Hu; Yingshu Li; Wei Li,,"Blockchain has been treated as one of the most promising technologies to promote crowdsourcing by providing new nice features, such as decentralization and accountability. Unfortunately, some inherent limitations of blockchain have been rarely addressed by the most existing works when applying blockchain into crowdsourcing, which becomes the performance bottleneck of crowdsourcing systems. In this paper, we propose a novel hybrid blockchain crowdsourcing platform to achieve decentralization and privacy preservation. Our platform integrates with a hybrid blockchain structure, dual-ledgers, and dual consensus algorithms to ensure secure communication between the requesters and the workers. Moreover, the smart contract and zero-knowledge proof are employed to ensure automatic operation of the tasks and the protection users' privacy, respectively. Finally, we conduct experiments to confirm the efficiency of the adopted consensus algorithm on our platform by comparing it with the state-of-the-art.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00076,Blockchain-Based Charging Coordination Mechanism for Smart Grid Energy Storage Units,Mohamed Baza; Mahmoud Nabil; Muhammad Ismail; Mohamed Mahmoud; Erchin Serpedin; Mohammad Ashiqur Rahman,,"Energy storage units (ESUs) enable several attractive features of modern smart grids such as enhanced grid resilience, effective demand response, and reduced bills. However, uncoordinated charging of ESUs stresses the power system and can lead to a blackout. In this paper, we leverage the blockchain and smart contracts to build a decentralized charging coordination mechanism without the need for a centralized charging coordinator. First ESUs should use tokens for anonymously authenticate themselves to the blockchain. Then each ESU sends a charging request that contains its State-of-Charge (SoC), Time-to-complete-charge (TCC) and amount of required charging to the smart contract address on the blockchain. The smart contract will then run the charging coordination mechanism in a self-executed manner such that ESUs with the highest priorities are charged in the present time slot while charging requests of lower priority ESUs are deferred to future time slots. In this way, each ESU can make sure that charging schedules are computed correctly. Finally, we have implemented the proposed mechanism on the Ethereum test-bed blockchain, and our analysis shows that execution cost can be acceptable in terms of gas consumption while enabling decentralized charging coordination with increased transparency, reliability, and privacy preserving.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00078,A Reputation Management Framework for Knowledge-Based and Probabilistic Blockchains,Tara Salman; Raj Jain; Lav Gupta,,"Recently, leading research communities have been investigating the use of blockchains for Artificial Intelligence (AI) applications, where multiple participants, or agents, collaborate to make consensus decisions. To achieve this, the data in the blockchain storage have to be transformed into blockchain knowledge. We refer to these types of blockchains as knowledge-based blockchains. Knowledge-based blockchains are potentially useful in building efficient risk assessment applications. An earlier work introduced probabilistic blockchain which facilitates knowledge-based blockchains. This paper proposes an extension for the probabilistic blockchain concept. The design of a reputation management framework, suitable for such blockchains, is proposed. The framework has been developed to suit the requirements of a wide range of applications. In particular, we apply it to the detection of malicious nodes and reduce their effect on the probabilistic blockchains' consensus process. We evaluate the framework by comparing it to a baseline using several adversarial strategies. Further, we analyze the collaborative decisions with and without the malicious node detection. Both results show a sustainable performance, where the proposed work outperforms others and achieves excellent results.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00030,ChainSplitter: Towards Blockchain-Based Industrial IoT Architecture for Supporting Hierarchical Storage,Gang Wang; Zhijie Shi; Mark Nixon; Song Han,,"The fast developing Industrial Internet of Things (IIoT) technologies provide a promising opportunity to build large-scale systems to connect numerous heterogeneous devices into the Internet. Most existing IIoT infrastructures are based on a centralized architecture, which is easier for management but cannot effectively support immutable and verifiable services among multiple parties. Blockchain technology provides many desired features for large-scale IIoT infrastructures, such as decentralization, trustworthiness, trackability, and immutability. This paper presents a blockchain-based IIoT architecture to support immutable and verifiable services. However, when applying blockchain technology to the IIoT infrastructure, the required storage space posts a grant challenge to resource-constrained IIoT infrastructures. To address the storage issue, this paper proposes a hierarchical blockchain storage structure, ChainSplitter. Specially, the proposed architecture features a hierarchical storage structure where the majority of the blockchain is stored in the clouds, while the most recent blocks are stored in the overlay network of the individual IIoT networks. The proposed architecture seamlessly binds local IIoT networks, the blockchain overlay network, and the cloud infrastructure together through two connectors, the blockchain connector and the cloud connector, to construct the hierarchical blockchain storage. The blockchain connector in the overlay network builds blocks in blockchain from data generated in IIoT networks, and the cloud connector resolves the blockchain synchronization issues between the overlay network and the clouds. We also provide a case study to show the efficiency of the proposed hierarchical blockchain storage in a practical Industrial IoT case.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/BLOC.2019.8751468,Blockchain Explorer based on RPC-based Monitoring System,Chaehyeon Lee; Heegon Kim; Sajan Maharjan; Kyungchan Ko; James Won-Ki Hong,,"Blockchain technology provides the advantage of maintaining a network without third party intervention, providing transparency because all participants have distributed ledgers with the same data. Using these characteristics, blockchain technology is being used in various fields, but the anonymity of blockchain can be exploited for illegal trades in the Darknet market. Therefore, a monitoring system for transactions occurring on the blockchain is needed. This paper proposes a monitoring system and an explorer to show the results collected from the system.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain53845.2021.00074,Containerchain: A Blockchain System Emulator based on Mininet and Containers,Saul Gill; Brian Lee; Yuansong Qiao,,"Blockchain is a popular topic of research in recent years. For worthwhile research into the use Blockchains, they often must be deployed into environments that are as close to real-world scenarios as possible. Real-world networks are large and complex and therefore the Blockchains used to research them should be large and complex. Creating large Blockchains like this may seem out-of-reach for the humble researcher. The tool introduced in this paper - Containerchain - seeks to make it much easier to spin up a large Blockchain system with little-or-no setup. The ultimate goal being to allow researchers to spend more time on actual research, rather than on setting up the network. Containerchain allows the user to deploy a real Blockchain system (not simulated) with several configurable parameters at their disposal. The user can control the number of nodes in the system, the consensus mechanism used and can observe and analyze the network traffic in the Blockchain - which is recorded out-of-the-box.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain53845.2021.00030,A Voting-Based Blockchain Interoperability Oracle,Michael Sober; Giulia Scaffino; Christof Spanring; Stefan Schulte,,"Today's blockchain landscape is severely fragmented as more and more heterogeneous blockchain platforms have been developed in recent years. These blockchain platforms are not able to interact with each other or with the outside world since only little emphasis is placed on the interoperability between them. Already proposed solutions for blockchain interoperability such as naive relay or oracle solutions are usually not broadly applicable since they are either too expensive to operate or very resource-intensive. For that reason, we propose a blockchain interoperability oracle that follows a voting-based approach based on threshold signatures. The oracle nodes generate a distributed private key to execute an off-chain aggregation mechanism to collectively respond to requests. Compared to state-of-the-art relay schemes, our approach does not incur any ongoing costs and since the on-chain component only needs to verify a single signature, we can achieve remarkable cost savings compared to conventional oracle solutions.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00053,"Toward a Decentralized, Trust-Less Marketplace for Brokered IoT Data Trading Using Blockchain",Shaimaa Bajoudah; Changyu Dong; Paolo Missier,,"As data marketplaces are becoming common place, it is also becoming clear that data streams generated from Internet of Things (IoT) devices hold value for potential third party consumers. We envision a marketplace for IoT data streams that can unlock such potential value in a scalable way, by enabling any pairs of data providers and consumers to engage in data exchange transactions without any prior assumption of mutual trust. We present a marketplace model and architecture to support trading of streaming data, from the advertising of data assets to the stipulation of legally binding trading agreements, to their fulfilment and payment settlement. Crucially, we show that by using blockchain technology and Smart Contracts in particular, we can offer participants a trade-off between the cost of transactional data exchange, and the risk of data loss when trading with untrusted third parties. We experimentally assess such trade-offs on a testbed using Ethereum Smart Contracts.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00061,Scalable Privacy-Preserving Query Processing over Ethereum Blockchain,Shlomi Linoy; Hassan Mahdikhani; Suprio Ray; Rongxing Lu; Natalia Stakhanova; Ali Ghorbani,,"Blockchain technologies have recently received considerable attention, partly due to the success of cryptocurrency applications such as Bitcoin and Ethereum. As the adoption of blockchain technologies by various sectors increases, there is a demand for tools that enable regulatory enforcement, which include monitoring, examining and ensuring compliance of the data stored by the blockchain systems, all in a privacy preserving way. Current blockchain solutions store transactions in append-only and immutable fashion without any indexing, which contributes to limited and inefficient queries. Additionally, there is no support for privacy-preserving query processing. To address these issues, in this paper, we propose a system that can provide auditors, enforcing regulatory compliance, with efficient, scalable and richer blockchain query processing over Hadoop and synchronized Ethereum clients. The system additionally ensures auditors' privacy by utilizing cryptography techniques over semi-trusted servers to protect the auditors' identities, queries and their results.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICBC54727.2022.9805500,A Blockchain-based Customizable Document Registration Service for Third Parties,Pamella Soares; Raphael Saraiva; Iago Fernandes; Antônio Neto; Jerffeson Souza,,"Blockchain has been relevant in the document management process, serving as a storage solution with the potential to guarantee the relevant requirements needed for any document storage and validation solution. However, due to the distributed nature of blockchain, we may face implementation difficulties and high operational costs, for example. To facilitate this process, we propose a customizable blockchain-based document registration service that makes it possible to create different types of gen-eralized documents for various application domains and store them in one or more blockchains integrated in an Application Programming Interface (API).",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain55522.2022.00076,A Survey on Safety Regulation Technology of Blockchain Application and Blockchain Ecology,Pengxu Shen; Suozai Li; Ming Huang; Haoyu Gao; Leixiao Li; Jun Li,,"Blockchain's technological characteristics, such as decentralization, robustness, and anti-modification, represent a significant challenge to the regulation of existing networks and data security. Effective regulation of blockchain applications is one of the keys to maintain the healthy and sustainable development of the blockchain ecology. We analyze the merits and demerits of the existing technologies in the research directions of tracking and visualization of blockchain nodes, consortium blockchain penetration regulation technology, public chain active discovery and exploration disposition techniques, and chain governance. In the end, we present the future research directions in respect of blockchain traceability and compliance regulation.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICBCTIS55569.2022.00044,An Edge Computing Data Privacy-Preserving Scheme Based on Blockchain and Homomorphic Encryption,Guangxia Xu; Jiajun Zhang; Ling Wang,,"The rapid increase in the number of mobile smart devices has led to an exponential growth in user data. With the access of a large number of heterogeneous edge devices and the in-depth development of edge computing technology in various fields, it has brought huge challenges to the security management and data privacy protection in the edge computing architecture. Therefore, this paper proposes a lightweight edge computing data privacy-preserving scheme based on blockchain and homomorphic encryption. Above all, set edge computing servers as distributed nodes of the blockchain network and utilize the decentralization of blockchain and the non-tamperable characteristics of information to ensure the distributed storage of data and information recording. Then, designing a blockchain data encryption transmission scheme based on homomorphic encryption which could guarantee data transmission between edge nodes in the form of homomorphic ciphertext. Meanwhile, supporting the verification of the legality and correctness of the transaction in the form of ciphertext. Simulation experiments show that the method proposed in this paper can carry out effective data encryption transmission and has certain application potential.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICBC54727.2022.9805506,Protecting Blockchain-based Decentralized Timed release of Data from Malicious Adversaries,Jingzhe Wang; Balaji Palanisamy,,"Timed-release of information refers to releasing protected sensitive data at a future point of time while securely protecting the information until the release time. Blockchain-based self-emerging data infrastructures consist of a group of blockchain accounts that jointly take charge of protecting and transferring the data at the release time. Existing solutions have focused on fully rational adversarial environments in which all peer accounts are rational. However, such protection disregards scenarios in which malicious peer accounts also exist. In our work, we focus on protecting blockchain-based timed-release service in mixed adversarial environments in which both rational peer accounts and malicious peer accounts exist. We introduce our blockchain-based timed-release framework designed for mixed adversarial environments and illustrate two concrete attacks, namely drop attack and release-ahead attack, and discuss our reputation-based solution.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICBC51069.2021.9461075,MB-EHR: A Multilayer Blockchain-based EHR,Huanyu Wu; Lunjie Li; Hye-young Paik; Salil S. Kanhere,,"Although Electronic Health Records (EHR) are widely used by healthcare organisations, many EHR systems still face security and privacy problems. Blockchains can provide solutions for many of these problems and there have been attempts to incorporate blockchains in EHR systems; however, inappropriate software architectural structure hinder the the adoption of blockchain in EHR systems. MB-EHR (Multilayer Blockchain-based EHR) aims to solve the aforementioned research gap and proposes a layered blockchain structure to better support the operational hierarchy in health organisations. Furthermore, MB-EHR implements a PDP-like data verification mechanisms to protect data integrity. Experiments results show that MB-EHR achieved good throughput performance.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/CBFD52659.2021.00086,"Game Analysis of ""Blockchain+Supply Chain Finance"" Mode in Empowering Small and Micro Enterprises’ Financing",Lei Zhou; Xiao Ya Zhong; Jing Liu; Meng Jie Xia,,"The integration of blockchain and supply chain provides new possibilities for solving the financing difficulties of small and micro enterprises (SMEs). This paper constructs dynamic evolutionary game models between financial institutions and SMEs as well as core firms and SMEs. Furthermore, the following conclusions were drawn by using MATLAB software for numerical simulation based on models combined with the example. Docking with blockchain platform is the dominant strategy of financial institutions. Blockchain can help SMEs make trustworthy decisions by promoting credit split circulation, improving financing efficiency, increasing default cost and reducing financing rate. In addition, through ""network cooperation and credit incentive"", ""joint punishment for breach of trust"" and ""reasonable revenue sharing"", the game equilibrium evolves toward the ideal state that financial institutions dare to lend, core firms and SMEs are ""Double Trustworthy"". Thus, the financing of SMEs is empowered by blockchain. Finally, according to the results of game analysis, suggestions that blockchain should be used to develop digital supply chain to meet the financing needs of SMEs are proposed.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/BRAINS52497.2021.9569827,"SUPRA, a distributed publish/subscribe protocol with blockchain as a conflict resolver",Jean-Philippe ABEGG; Quentin BRAMAS; Timothée BRUGIÈRE; Thomas NOEL,,"Publish/subscribe is a communication paradigm used in distributed applications to easily exchange messages. This paradigm usually has a centralized architecture where a broker is responsible for transferring all the messages, hence can be a source of trust issues. In a threat model where the broker can be malicious, two honest entities cannot be sure of the origin of a message. There exist propositions for distributed publish/subscribe protocols replacing the broker by a blockchain. Those propositions all have in common an extensive usage of the blockchain, which makes them expensive over time, due to blockchain fees, and not scalable. In this paper, we introduce SUPRA, a distributed publish/subscribe protocol. This protocol has the same security guarantees than other solutions relying on blockchains, but where the vast majority of messages are off-chain. The message exchanges are done mostly directly between publishers and subscribers and the blockchain is only used in case of network issues, if a message is lost, or an entity is suspected to be malicious.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICBCTIS55569.2022.00049,Application and Prospect Analysis of Blockchain Technology in Water Resources Protection,Guangfu Wu; Enning Li; Mengmeng Wang,,"As a very popular technology, blockchain technology has become more and more widely used in various fields due to its advantages in distributed storage, data transparency, and traceability. Starting from the existing problems of water resources protection, this article comprehensively discusses the characteristics of blockchain technology, the scenarios and modes that blockchain can be used in the field of water resources protection, such as water body data storage, multi-sectoral cooperation, and expanded public participation Degree and so on. Furthermore, the reasons why the current blockchain cannot be applied on a large scale and in the field of water protection is discussed, for example: different standards, resource consumption, and insufficient technical foundation of the people. All these will provide ideas for the development of blockchain in the field of water protection.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/SmartBlock52591.2020.00018,Research on the New Capability Structure of University Accounting Talents under the Background of Artificial Intelligence and Blockchain,Yanli Yang,,"The widespread application of blockchain technology and artificial intelligence in the field of accounting will replace many manual tasks, which will have a great impact on the training of accounting professionals in colleges and universities, mainly focused on training skilled personnel. Therefore, it is of great significance to study the impact of blockchain and artificial intelligence on the accounting professionals in universities and their corresponding ability structure. Defining the application stage of artificial intelligence and blockchain in the field of finance and accounting from the perspective of technology implementation, we can clarify the functional characteristics of artificial intelligence and blockchain in this field; By analyzing the development process of artificial intelligence and blockchain in the field of finance and accounting with non-technical factors, it can be judged that it has an achievable development stage. And on this basis, the author put forward specific suggestions for the ability structure training of future accounting professionals.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/CCSB60789.2023.10398747,A Scalable Hierarchical-Domain Blockchain-Based Sharding System Towards Collaborative Sensing in Power Trading,Ran Chen; Junwei Bao; Weihua Zhao; Tianxu Sun; Meihan Jin; Jiayi Guo,,"Benefiting from the popularization of 6G and loT, blockchain-based collaborative sensing of power trading has received extensive attention from academia and industry. However, the low scalability seriously hinders the further widespread application of blockchain technology. Therefore, this paper proposes a blockchain-based hierarchical-domain sharding system BCShard, which adopts the client-edge-cloud three-layer architecture and adopts an improved privacy protection clustering algorithm based on historical transactions to securely implement blockchain sharding and efficiently process cross-shard transactions. In addition, we implement a blockchain sharding system prototype system based on open-source codes. Detailed theoretical analysis and experimental results show that our system is compared with other state-of-the-art solutions in different metrics, demonstrating the scalability, efficiency and security of our system in the PloT scenario.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/CBFD52659.2021.00110,Exploration of Radio Monitoring Data Storage Based on Blockchain Technology,Xiaoying Ma; Zhixin Wang; Wenkang Wei; Anping Li,,"With the increasing rise and rapid development of blockchain technology, the advantages of decentralized, distributed consensus and secure, tamper-evident and reliable database of blockchain technology will become increasingly prominent. In this paper, we explore data storage and processing based on blockchain technology for the massive data generated in the field of radio monitoring, and compare the blockchain database with the traditional database to further explore the application of blockchain technology in radio monitoring data storage.",,,
