journal,indexation,publication,doi,titre,chercheurs,laboratoires,abstract,keywords
ICMLT '24: Proceedings of the 2024 9th International Conference on Machine Learning Technologies,ACM,,https://doi.org/10.1145/3674029.3674050,Machine Learning Tool for Wildlife Image Classification,,,"Wildlife researchers gather a large amount of image data during fieldwork. Reviewing this data is time-consuming and requires specialized expertise. To address this issue, machine learning models can automatically classify animals in these images. This ...",
MLCAD '24: Proceedings of the 2024 ACM/IEEE International Symposium on Machine Learning for CAD,ACM,,https://doi.org/10.1145/3670474.3685972,When Device Modeling Meets Machine Learning: Opportunities and Challenges (Invited),,,"Device modeling is essential for circuit simulations and designs in terms of constructing the circuit matrix equations of KCL and KVL. While there are classical methodologies, machine learning techniques are promising to bring innovations in the ...",
"ACM Computing Surveys (CSUR), Volume 56, Issue 11",ACM,,https://doi.org/10.1145/3664595,Creativity and Machine Learning: A Survey,,,"There is a growing interest in the area of machine learning and creativity. This survey presents an overview of the history and the state of the art of computational creativity theories, key machine learning techniques (including generative deep learning),...",
KDD '24: Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,ACM,,https://doi.org/10.1145/3637528.3671442,Practical Machine Learning for Streaming Data,,,"Machine Learning for Data Streams has been an important area of research since the late 1990s, and its use in industry has grown significantly over the last few years. However, there is still a gap between the cutting-edge research and the tools that are ...",
NSAD '24: Proceedings of the 10th ACM SIGPLAN International Workshop on Numerical and Symbolic Abstract Domains,ACM,,https://doi.org/10.1145/3689609.3699919,Abstract Domains for Machine Learning Verification (Keynote),,,"Machine learning (ML) software is increasingly being deployed in high-stakes and sensitive applications, raising important challenges related to safety, privacy, and fairness. In response, ML verification has quickly gained traction within the formal ...",
"The Journal of Machine Learning Research (JMLR), Volume 24, Issue 1",ACM,,,Dimensionless machine learning: imposing exact units equivariance,,,"Units equivariance (or units covariance) is the exact symmetry that follows from the requirement that relationships among measured quantities of physics relevance must obey self-consistent dimensional scalings. Here, we express this symmetry in terms of ...",
CIKM '24: Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,ACM,,https://doi.org/10.1145/3627673.3679103,Hands-On Introduction to Quantum Machine Learning,,,"This tutorial offers a hands-on introduction into the captivating field of quantum machine learning (QML). Beginning with the bedrock of quantum information science (QIS)-including essential elements like qubits, single and multiple qubit gates, ...",
ICMLT '24: Proceedings of the 2024 9th International Conference on Machine Learning Technologies,ACM,,https://doi.org/10.1145/3674029.3674031,Prediction of Mobile Phone Prices using Machine Learning,,,"This research investigates upon the prediction of mobile phone prices based on various factors through the applications of multiple machine learning algorithms. Leveraging linear regression, decision tree regressor, random forest regressor, gradient ...",
ICMLT '24: Proceedings of the 2024 9th International Conference on Machine Learning Technologies,ACM,,https://doi.org/10.1145/3674029.3674049,Rating Prediction of Football Players using Machine Learning,,,This research Analysis the prediction of football player ratings through the application of diverse machine learning algorithms. Rating systems for sports teams have gathered considerable attention in academic research. The approach used by the authors ...,
MLCAD '24: Proceedings of the 2024 ACM/IEEE International Symposium on Machine Learning for CAD,ACM,,https://doi.org/10.1145/3670474.3685970,Machine Learning VLSI CAD Experiments Should Consider Atomic Data Groups,,,"Machine learning (ML) has proved useful across a wide range of applications in the very-large-scale integration computer-aided design (VLSI CAD) domain. To avoid overestimating ML models' generalization capabilities for real-world deployments, best ...",
