journal,indexation,publication,doi,titre,chercheurs,laboratoires,abstract,keywords,pays,quartile
,IEEE,Publisher: IEEE,DOI: 10.23919/IST-Africa56635.2022.9845598,"Responsible AI, SDGs, and AI Governance in Africa",Kutoma Wakunuma; George Ogoh; Damian Okaibedi Eke; Simi Akintoye,,"More than ever before, AI is now an area of national strategic importance. This has become quite evident with the proliferation of national AI strategies since the first was launched in Canada in 2017. There is now an ever-growing body of national AI strategies especially in countries situated in the Global South. AI is seen as a key driver of economic development and the strategies describe how countries plan to exploit AI technologies to achieve national development goals. However, AI technologies also generate problematic and unintended consequences, and the national strategies often describe governance mechanisms for mitigating such issues. As the national development goals of many countries also align with the UN SDGs, this paper explores the relationship between responsible governance of AI, the attainment of the UN SDGs and the implications for African countries. The paper shows that there is a clear link between the development of AI and the attainment of the SDGs. Also, based on an analysis of two AI policy tracking repositories - the OECD AI Policy Observatory and Oxford AI Readiness Index – this paper shows how African countries have lagged behind countries in the Global South in terms of the development of governance structures for AI. This has far-reaching implications for the attainment of the SGDs and the paper provides recommendations in this area.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/IDAP64064.2024.10711025,Evaluation of Voice Recognition Platforms and Methods for Edge AI Devices,Yunus Koç; Ahmet Ayberk Tarçın; Doğukan Köse,,"AI-driven voice recognition technologies have an important application area for remote control of devices ranging from smart home appliances, automotive systems to consumer electronics and industrial automation. Thus, many devices are being designed to have AI based voice processing capabilities. However, AI models need to be implemented in edge devices for some applications that have no access for cloud computing. So, it is very critical to optimize the resource usage as well as improving the model due to hardware limitations. On this issue, this paper presents implementation and comparative analysis of AI based voice recognition methods for edge devices via different MCU platforms that we named as Platform 1, Platform 2, and Platform 3. In this context, phoneme-based and word-based voice recognition models with related platforms were evaluated to observe recognition performance and CPU/memory usage. According to the results, Platform 1 with phoneme-based model showed best accuracy performance while Platform 3 with phoneme-based model provided the lowest memory usage in our experimental scenarios.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/TTS.2022.3195114,Assessing Trustworthy AI in Times of COVID-19: Deep Learning for Predicting a Multiregional Score Conveying the Degree of Lung Compromise in COVID-19 Patients,Himanshi Allahabadi; Julia Amann; Isabelle Balot; Andrea Beretta; Charles Binkley; Jonas Bozenhard,,"This article’s main contributions are twofold: 1) to demonstrate how to apply the general European Union’s High-Level Expert Group’s (EU HLEG) guidelines for trustworthy AI in practice for the domain of healthcare and 2) to investigate the research question of what does “trustworthy AI” mean at the time of the COVID-19 pandemic. To this end, we present the results of a post-hoc self-assessment to evaluate the trustworthiness of an AI system for predicting a multiregional score conveying the degree of lung compromise in COVID-19 patients, developed and verified by an interdisciplinary team with members from academia, public hospitals, and industry in time of pandemic. The AI system aims to help radiologists to estimate and communicate the severity of damage in a patient’s lung from Chest X-rays. It has been experimentally deployed in the radiology department of the ASST Spedali Civili clinic in Brescia, Italy, since December 2020 during pandemic time. The methodology we have applied for our post-hoc assessment, called Z-Inspection®, uses sociotechnical scenarios to identify ethical, technical, and domain-specific issues in the use of the AI system in the context of the pandemic.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9671150,Fine-tuned Xception for Image Classification on Tiny ImageNet,Hayet Benbrahim; Ali Behloul,,"Image classification has been one of the most widely topic in artificial intelligence, deep models need larger datasets and powerful hardware to improve the highperformance classification. ImageNet Challenge was started in 2010 to classify 100,000 test images into 1000 different classes. Tiny ImageNet challenge is similar to ImageNet challenge, where images are taken from the standard ImageNet and resized to be 64x64. In this paper a fine-tuned Xception to classify images into the 200 classes is presented using the standard Tiny ImageNet dataset, the down-sampling (64x64) of images and the low similarity inter-class makes feature extraction and classification difficult and more challenging. We used a transfer learning algorithm to fine-tune the Xception architecture using the Extreme version of the Inception module to achieve a high validation accuracy of 65.14%.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9671216,A Multi-Key Based Lightweight Additive Homomorphic Encryption Scheme,Khaled Chait; Abdelkader Laouid; Lamri Laouamer; Mostefa Kara,,"Usually, IoT devices have low power. Merging IoT and cloud computing provides the IoT environment with data management flexibility, such as data scalability, enhanced devices capacity, economies of scale, etc. But solutions based on cloud computing can put privacy at risk when operating an unreliable provider. The introduction of the homomorph allows a third party to perform operations on the data without having access to it. In this paper, we propose a partially homomorphic lightweight asymmetric encryption technique, which allows to encrypt decimal digits of the message separately, by multiplying each by a different key. There are many encryption techniques in the literature, most of them suffer from size and slowness in terms of execution time. In our proposed technique, the size of the ciphertext is close to the size of the original one. Moreover, we obtained a time complexity equal to O(n). Thus, the proposed scheme is suitable for devices and networks with limited resources, while offering high security.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9671087,Low-cost haptic glove for grasp precision improvement in Virtual Reality-Based Post-Stroke Hand Rehabilitation,Mostefa Masmoudi; Nadia Zenati; Samir Benbelkacem; Zineb Hadjadj; Oualid Djekoune; Mohamed Amine Guerroudji,,"Stroke in Algeria is one of the most important causes of severe physical disability. Upper limb paralysis is also most common in stroke patients, which severely affecting their daily life. Therefore, it is important to help stroke patients to improve the quality of their life. In this article, we have proposed a novel system based on virtual reality for fine motor rehabilitation. Because the sense of touch is essential to the patient's daily activities, we have integrated haptic feedback into our system (vibrating glove), this is to help the patient to perform rehabilitation exercises. The proposed vibrating glove is equipped with five small and flat vibrating motor discs (one on each finger); these motors are controlled by ESP8266 board. This system has been tested on two patients with stroke. The preliminary results show that the system can help patients recover fine motor skills.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9671095,EMG-Based Hand gesture recognition for myoelectric prosthetic hand control,Boucetta Lakhdar Nadjib; Chemloul Bilal; Rebai Karima,,"The work presented in this paper aims to contribute to the development of a deep learning-based approach to recognize hand movements using surface electromyography signals. This will be used subsequently for the incarnation of these movements using a prosthetic hand. The developed classification mechanism combines the proprieties of the Convolutional Neural Network known by its ability to extract the electromyography signal features with the properties of the Long Short-Term Memory cells that extract and learn sequential properties of the time series phenomena. The developed approach could achieve an accuracy rate of 98.8% using the ""sEMG for Basic Hand movements Data Set"" dataset. This result fulfills strongly to build a control system based on hand gestures. To develop a complete prosthetic hand system, a prosthetic hand prototype was designed. It was controlled by the hand recognition unit to embody the six movements (cylindrical, hook, lateral, palmar, spherical, and peripheral) available in the dataset used.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9671217,Exact bit error rate of cooperative NOMA without diversity combining,Faical Khennoufa; Abdellatif Khelil,,"This paper investigates a downlink cooperative non-orthogonal multiple access without diversity combining (C-NOMA-WDC) when the near user works as a helper user in decode-and-forward (DF) mode to help the far user. The Binary Phase Shift Keying (BPSK) is used to encode the users' messages. Under the Rayleigh fading, we derive the analytical closed-form bit error rate (BER) expression for the near user. Then, we express the end-to-end BER of the far user. The results are compared with traditional cooperative orthogonal multiple access WDC (C-OMA-WDC). The optimal value of the power allocation and the best position for the assistance user are also discussed. The numerical results are verified by simulation. The results show that the BER of C-OMA-WDC outperforms C-NOMA-WDC. The power allocation coefficient does not always influence BER optimization but rather affects the performance of the successive interference cancellation (SIC). Moreover, to achieve fairness in BER performance between the far user and the near user, the best position for the assistant user is in the middle between the base station and the far user.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9671161,Asymmetric Image Encryption Based on Twin Message Fusion,Mohammed Elhabib Kahla; Mounir Beggas; Abdelkader Laouid; Mostefa Kara; Muath AlShaikh,,"After the digital revolution, it has become imperative for us to protect personal information, one of the most important of this information is the image, the most widely used protection methods are encryption, and despite the research that included this topic, there are still a few problems, including encryption and decryption speed, image encryption size, and how keys can be shared by Safeway. This paper proposes a novel image asymmetric encryption scheme based on Magic Number Fragmentation and El-Gamal Encryption (MNF-G); to begin with, the plain- image is converted into blocks of bits; then, to decimal; finally, the plain-image well be encrypted these blocks by MNF-G algorithm. The experimental result shows that the proposed algorithm can successfully encrypt/decrypt images and it has a good encryption effect. Image encrypted developed by this scheme will be entirely different when compared to the original image file and will be suitable for the secured transmission over the internet. Thus, this model provides an additional level of security.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9671225,Secure Consensus Clock Synchronization in Wireless Sensor Networks,Aissaoua Habib; Abdelkader Laouid; Mostefa Kara,,"It is challenging to achieve secure clock synchronization in wireless sensor networks (WSNs), which are usually deployed in a hostile environment under potential malicious attacks. In this paper, we focus on defending the Weighted Consensus Clock Synchronization (WCCS) in WSNs. We are interested in false data injection where malicious nodes have the ability to transmit a fake synchronization message to their neighbors. To deal with such an attack, we use a statistical outlier detection method to identify malicious nodes during the synchronization process. Simulation results show that our proposal is highly robust against malicious attacks and quite accurate as all malicious nodes are exactly identified by all neighboring nodes.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9671172,Automated assessment of breast density on mammogram images based on convolutional neural networks,Belaggoune Mohammed; Benblidia Nadjia,,"Inception_ResNet_V2 model is one of the most effective deep learning methods and one of the outputs of artificial intelligence in image classification as accurately as possible, as it can be relied upon to create highly accurate classification models in the context of medical images analysis. In this work, we will test the effectiveness of this model by applying it to the assessment of breast density in radiographs, based on the Breast imaging-reporting and data system (BI-RADS) standard. This method solved the problem of lack of data and training and gave us impressive results, with accuracy reaching 99% in the two-class classification and 97% in the fourth classification. This can be considered remarkable progress in the process of early detection of breast cancer.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9671174,"Arabic Fake News and Spam Handling: Methods, Resources and Opportunities",Hichem Rahab; Abdelhafid Zitouni; Mahieddine Djoudi,,"Fake news detection and elimination is an emergent challenge with the growth development in social media and especially by the user-generated content UGC. Works in handling such content are more and more important worldwide, however, those interested in the Arabic language are still very limited when compared to the use of this language on the web. In this paper, we give the main used methods in last years to handle Arabic spam content and fake news in social media. Our findings are twice, the first is that Twitter is the most investigated platform in this area, and the second is the dominance of Arabic dialectal content by spammers. We recommend more works in handling Arabic dialects, also the orientation to other social media platforms such as Facebook, which are the most used in some Arab regions.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9671226,RF-DNN2: An ensemble learner for effective detection of PHP Webshells,Abdelhakim Hannousse; Salima Yahiouche,,"The explosion of web services has been accompanied by a rapid development of dangerous cyberattack methods. Webshells are considered among the easiest and most persistent cyberattack methods targeting web servers in the last few years. Webshells are malicious scripts injected into web servers to gain illegal persistent and remote access through simple and benign HTTP requests. Through webshells, hackers can access confidential data, execute system commands and compromise more machines connected to the target server. All those dangerous actions can be performed without being noticed by administrators and malware detectors. In this paper, we propose an ensemble learner model named RF-DNN 2 for the detection of webshells written in PHP scripting language. The proposed model combines the predictions of two deep neural network models and uses Random Forest as a stacking meta classifier. The first deep neural network model is trained on vectorized source codes of webshells and the second deep neural network model is trained on vectorized opcode sequences generated from webshell sources. Individual deep neural network models and RF-DNN 2 are compared with a set of traditional classifiers and other ensemble learners. The experiments show that the RF-DNN 2 model has the best accuracy 98% and macro F1-score 97.45%.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9671213,The aging effects on face recognition algorithms: the accuracy according to age groups and age gaps,Leila Boussaad; Aldjia Boucetta,,"This paper aims to examine the effects of aging on the efficiency of facial recognition algorithms in terms of age groups and age difference intervals. A comparative analysis of the recognition performance of two approaches is conducted for different age groups and different length time intervals between images. The first approach uses a two-dimensional discrete cosine transform (2D-DCT) and a Kernel Fisher Analysis (KFA) as description tools; classification is made using a k-NN classifier based on Euclidean distance. However, the second one is performed in two ways: first, we considered face as a single entity, then we viewed face as an independent component set. This approach makes use of Convolutional Neural Networks (CNN) for description and Support vector machines (SVM) for classification. Achieved results using the publicly accessible FG-NET face database prove that age groups influence the performance of face recognition algorithms. Also, time length lapses between images can significantly reduce the performance of face recognition.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/AI-CSP52968.2021.9670891,A new Deep Learning Model for COVID-19 Identification using Chest X-ray and CT Scan images,Ouahab Abdelwhab; Belhadg Fatima,,"The COVID-19 epidemic appeared in the first time in China and spread to the whole of the world terribly. This epidemic has had a shock on daily life and human health. Due to the quick expansion of this malady, it is needful to search an express way to find out the existence of the malady in the human body. Because this grave malady affects the respiratory system of humans, CT scans (CT) and chest X-ray are of the most important tools that can be used to find out COVID-19. In this work, we suggest a novel deep learning method to predict COVID-19 using CT and X-ray images based on two separate Convolutional Neural Networks. The proposed model fuses the features extracted from CT and and X-ray images in one layer before the classification step. The proposed model achieved an accuracy of 99%.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/SMARTCOMP55677.2022.00042,Demonstrating Optimized Delegation between AI and Human Agents,Andrew Fuchs; Andrea Passarella; Marco Conti,,"With humans interacting with AI-based systems at an increasing rate, it is necessary to ensure the artificial systems are acting in a manner which reflects understanding of the human. In the case of humans and artificial AI agents operating in the same environment, we note the significance of comprehension and response to the actions or capabilities of a human from an agent's perspective, as well as the possibility to delegate decisions either to humans or to agents, depending on who is deemed more suitable for a given context. Such capabilities will ensure an improved responsiveness and utility of the entire human-AI system. To that end, we investigate the use of cognitively inspired models of behavior to predict the behavior of both human and AI agents. The predicted behavior, and associated performance with respect to a certain goal, is used to delegate control between humans and AI agents through the use of an intermediary entity. As we demonstrate, this allows overcoming potential shortcomings of either humans or agents in the pursuit of a goal.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/IMCEC59810.2024.10575661,Data Analysis of Aluminum Alloy Defect Online Detection to Provide Data Support for AI Model,Shang Wang; Meiqin Liang; Xiangyun Kong,,"The application of AI technology is becoming increasingly widespread across various domains. However, its application in the field of internal crack detection in aluminum alloys remains uncommon. This scarcity can be attributed to the heavy reliance of AI models and algorithms on vast amounts of data, which are challenging to obtain through conventional experimental approaches. To address this issue and provide substantial data for AI models, this study proposes a novel constraint force testing method based on bending deformation, aimed at enabling online detection of internal cracks. By establishing a comprehensive model and conducting meticulous data analysis, we investigate the influence of cracks on constraint forces. The findings reveal that even small internal cracks induce fluctuations in the Y-axis constraint force of the pressing roller, ranging between 553.1-631.0 N. Furthermore, the Mises stress plots and the maximum Mises stress across the entire model exhibit dynamic alterations as the specimen is in motion, with varying crack positions. Notably, the peak Mises stress throughout the analysis occurs when the crack lies directly beneath the compression roller. Through a combined approach of modeling and numerical calculations, this study provides empirical evidence supporting the establishment of AI models for online crack detection. It elucidates the patterns of evolving constraint forces and Mises stress in relation to crack positions. These findings contribute to the development of efficient and accurate AI-based crack detection systems, addressing the limitations of traditional methods.",,,
,IEEE,Publisher: IEEE,,"Towards Explainability as a Functional Requirement: A Vision to Integrate the Legal, End-User, and ML Engineer Perspectives",Umm-E- Habiba; Justus Bogner; Stefan Wagner,,"The rapid advancement and integration of artificial intelligence (AI) in various sectors have accentuated the importance of explainability in AI systems. This vision paper presents an exploration into the multifaceted nature of AI explainability, consolidating insights from three critical perspectives: legal, end-user, and ML engineer. We work towards a comprehensive taxonomy by creating a detailed classification that integrates various viewpoints and establishes explainability as an essential functional requirement, despite its usual treatment as a non-functional requirement.Our taxonomy will guide towards the interdependencies and distinct requirements of each perspective. We aim to foster a more profound understanding of AI explainability, encouraging a more holistic approach to AI system development. This research will advance the explainable AI discussion, providing key insights for policymakers, developers, and users, and promoting the development of AI systems that are technically sound, trustworthy, understandable, and legally compliant.CCS CONCEPTS• Software Engineering → Requirement Engineering for Responsible AI; • Requirements Engineering → Functional and Non-Functional Requirements; • Responsible AI Engineering;",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ISSCC49657.2024.10454357,"20.3 A 23.9TOPS/W @ 0.8V, 130TOPS AI Accelerator with 16× Performance-Accelerable Pruning in 14nm Heterogeneous Embedded MPU for Real-Time Robot Applications",Koichi Nose; Taro Fujii; Katsumi Togawa; Shunsuke Okumura; Kentaro Mikami; Daichi Hayashi,,"To solve social problems such as labor shortages, there are growing expectations for the advancement of human-cooperative robots. In such robots, advanced environmental recognition (mainly AI based), planning and control (normally non-AI algorithms) have to be processed simultaneously in real time. However, with current AI chips, meeting these objectives is challenging for several reasons: 1) A high-performance AI accelerator with 100TOPS peak class is required, in particular when a multi-camera system is employed for wide-range environment recognition. However, such an accelerator cannot be incorporated in a robot device because its power exceeds 10W [1] and a huge fan is required. 2) Embedded CPUs do not have sufficient performance for processing multiple robot tasks that mix AI and non-AI tasks in real-time. To solve these issues, we propose a power-efficient AI-MPU (microprocessor unit) including: 1) a flexible pruning rate control (named flexible N:M pruning) technology capable of up to 16
×
AI performance acceleration, and 2) a heterogenous architecture for multi-task & real-time robot operation based on the co-operation among a dynamically reconfigurable processor (DRP), AI accelerator (DRP-AI) and embedded CPU.",,,
,IEEE,Publisher: IEEE,,Prompt Smells: An Omen for Undesirable Generative AI Outputs,Krishna Ronanki; Beatriz Cabrero-Daniel; Christian Berger,,"Recent trends in the world of Generative Artificial Intelligence (GenAI) focus on developing deep learning (DL)-based models capable of learning structures and temporal patterns from supplied training data to generate content in different formats like text, images, or sound. GenAI models have been widely used in various applications, including creating stories, illustrations, poems, articles, computer code, music compositions, and videos [5] , [11] .",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/NOMS54207.2022.9789853,Smart DC: An AI and Digital Twin-based Energy-Saving Solution for Data Centers,Ziting Zhang; Yu Zeng; Haoran Liu; Chaoyue Zhao; Feng Wang; Yunqing Chen,,"With the rapid growth of mobile internet, Internet of Things (IoT), and cloud computing, the demand for data services has arisen sharply. As the core data service infrastructure, the number of data centers (DCs) has surged and led to higher energy consumption, which is not conducive to energy conservation, emission reduction, and sustainable development. In this paper, we proposed an energy-saving solution based on Artificial Intelligence (AI) and digital twin in DC scenarios, called Smart DC. The proposed solution can reduce DCs' energy consumption by optimizing air distribution and reducing cooling redundancy. Specifically, the digital twin model in this solution is used to verify and optimize AI strategies, and solve the problem of insufficient data in physical data center. Data for AI training and information mining is limited because the environment in the DCs change little. Moreover, in order to ensure that the DCs operate at a safe temperature, the adjustment of parameters should be conservative, so there is still room for cooling redundancy. We combined digital twin and AI, exploring the temperature rise boundary in the digital DCs and mine more data pairs, which has proven to increase the robustness of the AI model and achieve better energy-saving effect. The simulation and experiment results show that the proposed solution can ensure safe and efficient operation and keep the energy-saving rate of the cooling system to reach 41.07%.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/DASA54658.2022.9765067,Interpreting the Factors of Employee Attrition using Explainable AI,Karthik Sekaran; Shanmugam S,,"Employee attrition is a great challenge for every organization. The growth of any organization directly depends on talented employees. Each employee is considered as a resource, trained over years on crucial skills, builds dependency over critical positions in an organization. There exists several reasons behind the decision made by the employee. It is the responsibility of the organization to identify the attrition of employees as it creates many implications for the processes. Retention of the employee, in turn, reduces the burden of hiring new candidates, increases stability, reduces wasting time on training, etc. To address this key challenge, a sophisticated interpretation model is employed to trace out the reason for attrition. This paper demonstrates the efficacy of two powerful Explainable AI (XAI) models named Local Interpre table Model-Agnostic Explainer (LIME) and Shapley Additive eXplainer (SHAP) on interpreting the factors deciding employee attrition. These models unveiled logical insights from the data that could assist the management authorities in countermeasure the risk of employee attrition.",,,
,IEEE,Publisher: MIT Press,DOI: 10.7551/mitpress/15782.001.0001,11 AI LITERACY,Gary F. Marcus,,"When I was a kid, one of my favorite bits of television was the catchy, animated series of public service announcements, called Schoolhouse Rock—shorts like “I'm Just a Bill”—which I still remember four decades later, in this case about how a bill makes (or does not make) its way through Congress and ultimately to the president, either to be vetoed or to become law.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICIMIA60377.2023.10426475,INFINIMIND AI – Supercharging User Expediency using AI And RPA,M Karthick Raja; Ashish Singh; N Balajiram; V S Hemraj Kumar; V Karthik; Sumit Paithankar,,"This paper introduces INFINIMIND AI, an innovative system seamlessly integrating advanced AI technologies, especially Natural Language Processing (NLP) and ensemble learning, to reshape user interactions. INFINIMIND AI boasts a user-friendly website interface, powered by FastAPI and Spring Boot for efficient API calls. The backend relies on the robust MongoDB and MySQL for precise database management. A standout feature is INFINIMIND AI’s high level of proficiency in NLP-driven input classification, coupled with sentiment analysis to gauge emotional context. SMTP communication facilitates data exchange, while UiPath automation consolidates and refines results into various user-friendly formats. INFINIMIND AI represents a novel and expedient approach to AI interactions, enhancing user experiences through simplified input processing and sentiment analysis. This paper details the innovative design and methodologies that underpin this AI-driven system, promising a user-centric future in AI interactions.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICETST55735.2022.9922931,Explainable AI in Drug Sensitivity Prediction on Cancer Cell Lines,Ismat Saira Gillani; Muhammad Shahzad; Ansharah Mobin; Muhammad Rizwan Munawar; Muhammad Usman Awan; Muhammad Asif,,"Explainable Artificial Intelligence (XAI) is a field that develops ways to explain predictions made by AI models. In this paper XAI which is a multifaceted approach is discussed which is capable of defining the value of features while producing predictions. Precision medicine and the forecast of cancer’s reaction to a specific treatment or drug efficiency is an area of active research. Drug sensitivity forecasting on massive genomics data is a strenuous process in drug discovery. However, drug personalization on the other hand is a tedious and arduous matter. Explainable AI is one of the many properties that instills confidence and dependency in AI systems which is why more attention needs to be paid to XAI. This research is a step toward a more profound understanding of deep learning techniques [1] on gene expressions and drug chemical structures.",,,
